Pathway,AMCF,genes
BRCA1_Pathway,0.0,ARPC3 ATF1 ATM ATR BACH1 BARD1 BLM BRCA1 BRCA2 CDC25A CDC25C CDKN1A CHEK1 CHEK2 E2F1 E2F2 E2F3 E2F4 E2F5 E2F6 FANCA FANCC FANCD2 FANCE FANCF FANCG FANCL GADD45A GADD45B GADD45G HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 HELLS HLTF MDC1 MRE11A MSH2 MSH6 NBN PLK1 POU2F1 RAD50 RAD51 RB1 RBBP8 SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 STAT1 TP53 TP73 UBB UBC UBD 
cAMP_Pathway,1.0,ADCY1 ADCY10 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 ADD1 ADD2 ADD3 ADRA1A ADRA1B ADRA1D ADRA2A ADRA2B ADRA2C ADRB1 ADRB2 ADRB3 AKAP1 AKAP10 AKAP11 AKAP12 AKAP13 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 AKAP7 AKAP8 AKAP9 AKT1 AKT2 AKT3 ANAPC1 ANAPC10 ANAPC11 ANAPC13 ANAPC2 ANAPC4 ANAPC5 ANAPC7 ANGPTL6 AREG ARRB1 ARRB2 ATF1 ATF4 BAD BDNF BMP1 BMP10 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BRAF BTC CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CALM1 CALM2 CALM3 CAMK1 CAMK1G CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CDC16 CDC23 CDC27 CDK16 CLCA1 CLCA2 CLCA3P CLCA4 CLCN1 CLCN2 CLCN3 CLCN4 CLCN5 CLCN6 CLCN7 CLEC11A CLEC14A CLIC1 CLIC2 CLIC3 CLIC4 CLIC5 CLIC6 CLNS1A CNGA1 CNGA2 CNGA3 CNGA4 CNGB1 CNGB3 CREB1 CREB3 CREB3L4 CREBBP CREM CRHR1 CRHR2 CRP CTGF CXCL12 DCC EGF EGFR ELK1 FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT4 GAS1 GAS2 GAS6 GAS8 GCG GCGR GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GLG1 GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAT3 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GSK3A GSK3B GYS1 GYS2 HBEGF HDGF HGF HRAS IGF1 IGF1R IGF2 IGF2AS IGF2R IL2 IL2RA IL3 IL4 IL6 IL9 ITPR1 ITPR2 ITPR3 JMJD7-PLA2G4B KCMF1 KCNK1 KCNK10 KCNK12 KCNK13 KCNK15 KCNK16 KCNK17 KCNK2 KCNK3 KCNK4 KCNK5 KCNK6 KCNK7 KCNK9 KCNRG KCNT1 KCNT2 KCNU1 KCNV1 KCNV2 KCTD1 KCTD10 KCTD11 KCTD12 KCTD13 KCTD14 KCTD15 KCTD2 KCTD3 KCTD4 KCTD5 KCTD6 KCTD7 KCTD8 KCTD9 KDELR1 KDELR2 KDELR3 KDR KIT KITLG KLF10 KRAS LEFTY1 LEFTY2 LHB LIPE LTBP1 LTBP2 LTBP3 LTBP4 MAP2K1 MAP2K2 MAPK1 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK6 MAPK7 MDK MEP1B MET MRAS MTOR MYL1 MYL12A MYL12B MYL2 MYL3 MYL4 MYL5 MYL6 MYL7 MYL9 MYLPF NANOS3 NFAT5 NFATC1 NFATC2 NFATC3 NFATC4 NFKB1 NFKB2 NGF NGFR NRAS NRG1 NRG2 NRG3 NRG4 NRP1 NRP2 NTF3 NTF4 NTN1 NTRK1 NTRK2 NTRK3 NUDT6 OGFR OGN PDE1A PDE1B PDE1C PDE3A PDE3B PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PGF PHKA1 PHKA2 PHKB PHKG1 PHKG2 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PKIA PKIB PKIB PKIG PLA2G10 PLA2G12A PLA2G12B PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4C PLA2G4D PLA2G4E PLA2G4F PLA2G5 PLA2G6 PLA2G7 PLCB1 PLCB2 PLCB3 PLCB4 PLCD1 PLCD3 PLCD4 PLCE1 PLCG1 PLCG2 PLCZ1 PLN PPAP2B PPBP PPP1R10 PPP1R11 PPP1R12A PPP1R12B PPP1R12C PPP1R13B PPP1R14A PPP1R14B PPP1R15A PPP1R16A PPP1R1A PPP1R1B PPP1R2 PPP1R3A PPP1R3B PPP1R3C PPP1R3D PPP1R3E PPP1R3F PPP1R7 PPP1R8 PPP1R9A PPP1R9B PPP3CA PPP3CB PPP3CC PPP3R1 PPP3R2 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCQ PRKD1 PRKD3 PROK1 PSIP1 PTK2B PTN PTPN1 PTPN2 PTPN3 PTPRA PTPRB PTPRC PYGB PYGL PYGM RAF1 RAP1A RAP2A RAPGEF3 RAPGEF4 REL RELA RELB RGS1 RGS10 RGS11 RGS12 RGS13 RGS14 RGS16 RGS17 RGS18 RGS19 RGS2 RGS20 RGS21 RGS22 RGS3 RGS4 RGS5 RGS6 RGS7 RGS8 RGS9 RHOA ROCK1 ROCK2 RPS6KB1 RRAS RRAS2 RYR1 RYR2 RYR3 SCN10A SCN11A SCN1A SCN1B SCN2A SCN2B SCN3A SCN3B SCN4A SCN4B SCN5A SCN7A SCN8A SCN9A SCNN1A SCNN1B SCNN1D SCNN1G SEMA3A SEMA4B SEMA4G SEMA5A SPON1 SRC TBRG1 TDGF1 TGFA TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 THPO TIMP1 TIMP2 TIMP3 TIMP4 TNNI1 TNNI2 TNNI3 TP53BP2 TYMP UCN UTS2 VEGFB VEGFC YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
cAMP_Pathway_Axonal_Growth,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 CALM1 CALM2 CALM3 MEP1B NFAT5 NFATC1 NFATC2 NFATC3 NFATC4 PKIA PKIB PKIG PPP3CA PPP3CB PPP3CC PPP3R1 RYR1 RYR3 
cAMP_Pathway_Cardiovascular_Homeostasis,0.0,ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 DCC MEP1B NTN1 PKIA PKIB PKIG 
cAMP_Pathway_Cell_Growth,0.0,ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 DCC MTOR NTN1 
cAMP_Pathway_Cell_Proliferation,0.0,AKAP1 AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 CDK16 MEP1B PKIA PKIB PKIG 
cAMP_Pathway_Cell_Survival,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 BAD BRAF MEP1B PKIA PKIB PKIG PLCB1 PLCB2 PLCB3 PLCB4 PLCD1 PLCD3 PLCD4 PLCE1 PLCG1 PLCG2 PLCZ1 RAP1A RAP2A RAPGEF3 RAPGEF4 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
cAMP_Pathway_Cell_Survival_._Chemotaxis,0.0,ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 DCC DCC NTN1 RPS6KB1 
cAMP_Pathway_Cytokine_Production,0.0,ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 DCC DCC MAPK11 MAPK12 MAPK13 MAPK14 NTN1 
cAMP_Pathway_Degradation_of_Cell_Cycle_Regulators,0.0,AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 ANAPC1 ANAPC10 ANAPC11 ANAPC13 ANAPC2 ANAPC4 ANAPC5 ANAPC7 CDC16 CDC23 CDC27 MEP1B PKIA PKIB PKIG 
cAMP_Pathway_Endothelial_Cell_Regulation,0.0,MYL1 MYL12A MYL12B MYL2 MYL3 MYL4 MYL5 MYL6 MYL7 MYL9 MYLPF RHOA ROCK1 ROCK2 
cAMP_Pathway_Glycogen_Synthesis,0.0,AKAP1 AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 MEP1B PKIA PKIB PKIG 
cAMP_Pathway_Glycolysis,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 PHKA1 PHKA2 PHKB PHKG1 PHKG2 PYGB PYGL PYGM 
cAMP_Pathway_Metabolic_Energy,0.0,ADCY1 ADCY10 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 AKT1 AKT2 AKT3 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 
cAMP_Pathway_Myocardial_Contraction,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CLCA2 CLCA3P CLCA4 CLCN5 CLCN7 CLCNKA CLCNKB CLIC1 CLIC2 CLIC5 CLIC6 CLNS1A CRP KCMF1 KCNK1 KCNK10 KCNK12 KCNK13 KCNK15 KCNK16 KCNK17 KCNK2 KCNK3 KCNK4 KCNK5 KCNK6 KCNK7 KCNK9 KCNRG KCNT1 KCNT2 KCNU1 KCNV1 KCNV2 KCTD1 KCTD10 KCTD10 KCTD11 KCTD13 KCTD14 KCTD2 KCTD7 MEP1B PKIA PKIB PKIG PLN SCN1A SCN1B SCN2A SCN3A SCN3B SCN4A TNNI1 TNNI2 TNNI3 
cAMP_Pathway_Oncogenesis,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 GSK3A GSK3B MEP1B PKIA PKIB PKIG 
cAMP_Pathway_Protein_Retention,0.0,AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 KDELR1 KDELR2 KDELR3 MEP1B PKIA PKIB PKIG 
cAMP_Pathway_Regulation_of_Cytoskeleton,0.0,ADD1 ADD2 ADD3 AKAP1 AKAP2 AKAP3 AKAP4 AKAP5 AKAP6 MEP1B PKIA PKIB PKIG 
Caspase_Cascade,-1.0,ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 AKT1 AKT2 AKT3 ANGPTL6 APAF1 ARAF AREG ARHGDIB BAD BAK1 BAX BCL2 BCL2L1 BDNF BID BID BIRC2 BIRC3 BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BRAF BTC CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CAPN1 CAPN10 CAPN11 CAPN2 CAPN3 CAPN5 CAPN6 CAPN7 CAPN9 CAPNS1 CASP1 CASP10 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 CFLAR CHUK CLEC11A CLEC14A CRADD CTGF CXCL12 CYCS DAXX DFFA DIABLO EGF EGFR FADD FAS FASLG FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT4 GAS1 GAS2 GAS6 GAS8 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GLG1 GMFG GNA11 GNA12 GNA13 GNA14 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAT3 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GRB10 GRB14 GRB2 GRB7 GZMB HBEGF HDGF HGF HRAS HSPD1 IGF1 IGF1R IGF2 IGF2AS IGF2R IKBKB IKBKE IKBKG IL2 IL2RA IL3 IL4 IL6 IL9 KDR KIT KITLG KLF10 KRAS LEFTY1 LEFTY2 LHB LMNA LMNB1 LMNB2 LTA LTBP1 LTBP2 LTBP3 LTBP4 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAP3K14 MAPK1 MAPK10 MAPK3 MAPK8 MAPK9 MDK MET MRAS NCK2 NFKB1 NFKB2 NGF NGFR NRAS NRG1 NRG2 NRG3 NRG4 NRP1 NRP2 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGFR OGN PARP1 PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PGF PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PLCB1 PLCB2 PLCB3 PLCB4 PLCD1 PLCD3 PLCD4 PLCE1 PLCG1 PLCG2 PLCH1 PLCH2 PPAP2B PPBP PRF1 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PRKDC PROK1 PSIP1 PTN RAF1 RB1 REL RELA RELB RIPK2 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA6 RPS6KB1 RRAS RRAS2 SEMA3A SEMA4B SEMA4G SEMA5A SFN SMPD1 SMPD2 SMPD3 SPON1 TBRG1 TGFA TGFB1 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR3 THPO TIMP1 TIMP2 TIMP3 TIMP4 TNF TNFRSF1A TNFRSF1B TRADD TRAF2 TRAF3 TRAF4 TRAF5 TYMP UTS2 VEGFA VEGFB VEGFC YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
Caspase_Cascade_Activated_Tissue_Trans_glutaminase,0.0,BAX CACNA1 CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNG7 CACNG8 CAPN1 CAPN10 CAPN11 CAPN2 CAPN3 CAPN5 CAPN6 CAPN7 CAPN9 CAPNS1 CASP1 CASP10 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 CFLAR CRADD CYCS DAXX DFFA FADD FAS FASLG GRB10 GRB14 GRB2 GRB7 GZMB HSPD1 LTA MAPK10 MAPK8 MAPK9 NCK2 PRF1 RIPK2 SMPD1 SMPD2 SMPD3 TNF TNFRSF1A TNFRSF1B TRADD TRADD TRAF2 TRAF3 TRAF4 TRAF5 
Caspase_Cascade_Apoptosis,0.0,CASP1 CASP10 CASP12 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 CRADD CYCS DAXX DFFA DFFB FADD FAS FASLG HSPD1 LMNA LMNB1 LMNB2 MAPK10 MAPK8 MAPK9 PARP1 PRKDC RB1 RIPK2 SMPD1 SMPD2 SMPD3 TRADD 
Caspase_Cascade_Cell_Survival,0.0,AKT1 AKT2 AKT3 BAD BCL2 BCL2L1 PRKACG PRKAR1A PRKAR1B RPS6KB1 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
Caspase_Cascade_ICAD_Degradation,0.0,CASP1 CASP10 CASP12 CASP2 CASP3 CASP4 CASP4 CASP6 CASP7 CASP8 CASP8 CASP9 CRADD CYCS DAXX DFFA DFFB FADD FAS FASLG HSPD1 MAPK10 MAPK8 MAPK9 RIPK2 SMPD1 SMPD2 SMPD3 TRADD 
CD40_Pathway,1.0,CD40 CD40LG CHUK IKBKB IKBKE IKBKG JAK3 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAP2K7 MAP3K14 MAP3K7 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK8 MAPK9 NFKB1 NFKB2 NFKBIA NFKBIB NFKBIE PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 REL RELA RELB STAT3 TNFAIP2 TRAF1 TRAF2 TRAF3 TRAF3IP2 TRAF5 TRAF6 
CD40_Pathway_Cell_Survival,0.0,CD40 CD40LG JAK3 TRAF1 TRAF2 TRAF3 TRAF3IP2 TRAF5 TRAF6 
CD40_Pathway_Gene_Expression,0.0,CHUK IKBKB IKBKE IKBKG NFKB2 NFKBIA NFKBIB NFKBIE REL RELA RELB TRAF3IP2 
CD40_Pathway_IKBs_Degradation,0.0,CHUK IKBKB IKBKE IKBKG MAP3K14 MAP3K7 MAPK10 MAPK8 MAPK9 NFKB1 NFKB2 NFKBIA NFKBIB NFKBIE REL RELA RELB 
Cellular_Anti_Apoptosis_Pathway,1.0,AIFM1 AKT1 ANGPTL6 APAF1 AREG ATM BAD BAK1 BAX BBC3 BCL2 BCL2L1 BCL2L11 BDNF BID BIRC2 BMP1 BMP10 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BTC CASP3 CASP7 CASP8 CASP9 CDKN2A CFLAR CHEK2 CHUK CLEC11A CLEC14A CTGF CXCL12 CYCS DAPK3 DAXX DFFA DIABLO EGF EGFR ENDOG F2RL3 FADD FAS FASLG FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT4 GAS1 GAS2 GAS6 GAS8 GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GLG1 GMFG GNRH1 GNRH2 GPC6 HBEGF HDGF HGF HTRA2 IGF1 IGF1R IGF2 IGF2AS IGF2R IKBKB IKBKE IKBKG IL2 IL2RA IL3 IL6 IL9 KDR KIF23 KIT KITLG KLF10 LEFTY1 LEFTY2 LHB LTBP1 LTBP2 LTBP3 LTBP4 MDK MDM2 MET NFKB1 NFKBIA NFKBIB NFKBIE NGF NGFR NRG1 NRG2 NRG3 NRG4 NRP1 NRP2 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGFR OGN PARP1 PARP10 PARP11 PARP14 PARP15 PARP16 PARP3 PARP4 PARP6 PARP8 PARP9 PAWR PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PGF PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PMAIP1 PML PPAP2B PPBP PPID PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PROK1 PRPS1 PSIP1 PTN RIPK1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA5 RPS6KA6 SEMA3A SEMA4B SEMA4G SEMA5A SLC25A4 SLC25A5 SLC25A6 SPON1 TBRG1 TDGF1 TGFA TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR3 THPO TIMP1 TIMP2 TIMP3 TIMP4 TNF TNFRSF10A TNFRSF1A TNFSF10 TNFSF12 TP53 TP53AIP1 TRADD TRAF2 TSPO TYMP UTS2 VDAC1 VDAC2 VDAC3 VEGFB VEGFC 
Cellular_Anti_Apoptosis_Pathway_Apoptosis,0.0,APAF1 BIRC2 CASP3 CASP7 CASP8 CASP9 CFLAR CYCS DAPK3 DAXX DIABLO F2RL3 FADD FAS FASLG HTRA2 PARP1 PARP10 PARP11 PARP14 PARP15 PARP16 PARP16 PARP3 PARP4 PARP6 PARP8 PARP9 PML PRPS1 TNFSF10 TNFSF12 
Cellular_Anti_Apoptosis_Pathway_Depolarization,0.0,CDKN2A MDM2 TP53 TP53AIP1 
Chemokine_Pathway,1.0,ACKR4 ADRBK1 AKT1 ARRB1 ARRB2 BCAR1 CACNA1A CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL21 CCL22 CCL23 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL4L1 CCL4L2 CCL5 CCL7 CCL8 CCR1 CCR2 CCR3 CCR4 CCR5 CCR6 CCR7 CCR8 CCR9 CCRL2 CRK CX3CL1 CX3CR1 CXCL1 CXCL11 CXCL12 CXCL13 CXCL14 CXCL16 CXCL2 CXCL3 CXCL5 CXCL6 CXCL9 CXCR1 CXCR2 CXCR3 CXCR4 CXCR5 CXCR6 DIRAS3 ELK1 FOS FPR2 GNA11 GNA12 GNA13 GNA14 GNA15 GNAQ GNAS GNB1 GNB2 GNB3 GNB4 GNB5 GNG2 GNG3 GNG4 GRB2 GRK1 GRK4 GRK5 GRK6 GRK7 HELLS HRAS HRH4 IL8 JAK2 JMJD7-PLA2G4B JUN KRAS MAPK1 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK4 MAPK6 MAPK7 MAPK8 MAPK9 MRAS NFKB1 NFKB2 NPTN NRAS PDPK1 PF4 PF4V1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PLA2G10 PLA2G12A PLA2G12B PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4C PLA2G5 PLA2G6 PLA2G7 PLCB1 PLCB2 PLCB3 PLCB4 PLCG1 PLCG2 PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PTK2 PTK2B REL RELA RELB RHOA RHOB RHOC RHOD RHOG RHOH RND2 RND3 RRAS RRAS2 SRF STAT5A STAT5B XCL1 XCL2 XCR1 
Chemokine_Pathway_Cell_Activation,0.0,JMJD7-PLA2G4B MAPK1 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK4 MAPK6 MAPK7 MAPK8 MAPK9 PLA2G10 PLA2G12A PLA2G12B PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4C PLA2G5 PLA2G6 PLA2G7 PTK2 PTK2B 
Chemokine_Pathway_Gene_Expression_._Apoptosis,0.0,CRK ELK1 GRB2 HRAS KRAS MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK4 MAPK6 MAPK7 MAPK8 MAPK9 MRAS NRAS PTK2 PTK2B RRAS RRAS2 
Chemokine_Pathway_Internalization_Degradation_Recycling,0.0,ADRBK1 ADRBK2 ARRB1 ARRB2 GNA11 GNA12 GNA13 GNA14 GNA14 GNA15 GNAQ GNAS GRK1 GRK4 GRK5 GRK6 GRK7 
Chromatin_Pathway,1.0,HELLS HLTF SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 SMARCD3 SMARCE1 TBRG1 
Chromatin_Pathway_Octamer_Sliding,0.0,HELLS HLTF SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 SMARCD3 SMARCE1 TBRG1 
Chromatin_Pathway_Octamer_Transfer,0.0,HELLS HLTF SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 SMARCD3 SMARCE1 TBRG1 
Circadian_Pathway,1.0,ARNTL BHLHE40 BHLHE41 CLOCK CRY1 CRY2 CSNK1E NR1D1 PER1 PER2 PER3 RORA 
